mu_tipo,mu_intensita,b_tipo_1,b_intensita_1,b_tipo_2,b_Intensita_2,sigma_tipo,sigma_intensita,forzante_tipo,forzante_intensita,L1_bc_fun,L1_bc_intensita,L2_bc_fun,L2_bc_intensita,L3_bc_fun,L3_bc_intensita,L4_bc_fun,L4_bc_intensita,toll,alpha,err_fin
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.27269E-05
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.48870E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.35176E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.65422E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.13981E-03
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,1.00E-01,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.27996E-05
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,1.00E-01,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.47736E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,1.00E-01,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.35658E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,1.00E-01,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.66434E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,0.00E+00,Costante,1.00E-01,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.15954E-03
Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.26195E-05
Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.47926E-04
Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.36721E-04
Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.65309E-04
Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.13868E-03
Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.26209E-05
Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.48350E-04
Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.37040E-04
Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.67550E-04
Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.14588E-03
Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.23112E-05
Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.48132E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.37963E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.62713E-04
Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.17030E-03
Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.27694E-05
Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.46862E-04
Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.39251E-04
Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.61711E-04
Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.16010E-03
Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.26090E-05
Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.48051E-04
Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.37998E-04
Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.67103E-04
Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.13891E-03
Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,1.00E-01,8.27512E-05
Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.2,1.00E-01,1.46996E-04
Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.25,1.00E-01,2.37348E-04
Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,1.00E-01,3.62489E-04
Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,1.00E-01,1.13049E-03
Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.15,5.00E-02,1.05908E-04
Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.3,5.00E-02,3.48455E-04
Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.5,5.00E-02,1.09833E-03
Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Costante,0,Costante,0,Costante,0,Costante,0,0.75,5.00E-02,2.87753E-03
