#,mu_tipo,mu_intensita,b_tipo_1,b_intensita_1,b_tipo_2,b_Intensita_2,sigma_tipo,sigma_intensita,forzante_tipo,forzante_intensita,L1_bc,L1_bc_fun,L1_bc_intensita,L2_bc,L2_bc_fun,L2_bc_intensita,L3_bc,L3_bc_fun,L3_bc_intensita,L4_bc,L4_bc_fun,L4_bc_intensita,toll,nvbx,alpha,beta,L13_size,L24_size,n_horiz_begin,n_vert_begin,h_min
1,Costante,3.78E-02,Costante,2.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,3.78E-02,1,1,1,100,100,5.00E-04
2,Costante,3.78E-02,Costante,2.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,3.78E-02,1,1,1,100,100,5.00E-04
3,Costante,3.78E-02,Costante,2.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,3.78E-02,1,1,1,100,100,5.00E-04
4,Costante,3.78E-02,Costante,2.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.7,500000,3.78E-02,1,1,1,100,100,5.00E-04
5,Costante,3.78E-02,Costante,2.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,3.78E-02,1,1,1,100,100,5.00E-04
6,Costante,1.89E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 13,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.89E-03,1,1,1,100,100,5.00E-04
7,Costante,1.89E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 13,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.89E-03,1,1,1,100,100,5.00E-04
8,Costante,1.89E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 13,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,1.89E-03,1,1,1,100,100,5.00E-04
9,Costante,1.89E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 13,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,10,500000,1.89E-03,1,1,1,100,100,5.00E-04
10,Costante,1.89E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 13,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,50,500000,1.89E-03,1,1,1,100,100,5.00E-04
