sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
5,0,20000,0.01,0.0141421,10201,0,2.66831,
5,1,43214,0.000804028,0.0434576,21914,1.53716e-06,0.337062,
5,2,19391,0.00159006,0.0409029,9898,3.57321e-07,0.433634,
5,3,10761,0.00189066,0.0567331,5522,1.10925e-06,0.718297,
5,4,8886,0.00204624,0.0642979,4565,1.57362e-06,0.842932,
5,5,8543,0.00204043,0.0674496,4389,2.02029e-06,0.864682,
5,6,8414,0.00211007,0.0672979,4325,2.14038e-06,0.869112,
5,7,8361,0.00211518,0.0689932,4297,2.23865e-06,0.869749,
4,0,20000,0.01,0.0141421,10201,0,2.66831,
4,1,65842,0.000730047,0.0389887,33315,7.42329e-07,0.208277,
4,2,35085,0.00116201,0.0284754,17822,1.33803e-07,0.25332,
4,3,21460,0.00129732,0.0397355,10930,3.31279e-07,0.363159,
4,4,18012,0.00151481,0.0442986,9181,3.71238e-07,0.421324,
4,5,17497,0.00151531,0.0470403,8916,4.80003e-07,0.42496,
4,6,17277,0.00145059,0.0487662,8806,5.05914e-07,0.427389,
4,7,17195,0.00144832,0.0479616,8765,5.15156e-07,0.428616,
7,0,20000,0.01,0.0141421,10201,0,221.047,
7,1,38263,0.000683218,0.0393705,19670,1.40135e-06,154.456,
7,2,48994,0.000590712,0.0324727,25160,0.000286905,93.8348,
7,3,38328,0.00054171,0.031447,19827,0.000372224,92.3852,
7,4,39354,0.000534557,0.0306217,20337,0.000405019,92.4286,
7,5,38954,0.000545131,0.031702,20138,0.000381377,92.7333,
7,6,38996,0.000545189,0.0328277,20159,0.000381207,92.9355,
10,0,20000,0.01,0.0141421,10201,0,221.047,
10,1,5394,0.00281156,0.0450006,2836,0.000459377,344.986,
10,2,1645,0.00268889,0.114268,923,0.0229985,365.803,
10,3,676,0.00399742,0.23056,399,0.0829184,339.391,
10,4,299,0.00693639,0.375951,186,0.257723,253.699,
10,5,136,0.0155623,0.369425,89,0.537279,161.351,
10,6,61,0.0376273,0.391464,43,1.17782,74.978,
10,7,33,0.102871,0.369642,25,2.75359,29.1329,
10,8,28,0.219727,0.357296,21,0.887962,33.7135,
10,9,28,0.227905,0.353171,21,0.471218,33.1936,
8,0,20000,0.01,0.0141421,10201,0,221.047,
8,1,36940,0.000662984,0.0425832,18990,2.0306e-06,154.178,
8,2,32823,0.000596107,0.0414327,17039,0.000276707,93.1626,
8,3,29788,0.000530951,0.0499874,15522,0.000439939,92.2923,
8,4,29790,0.000531121,0.0479067,15524,0.000443289,91.9117,
8,5,29739,0.000525162,0.0455911,15498,0.00043429,92.2507,
9,0,20000,0.01,0.0141421,10201,0,221.047,
9,1,26866,0.000705947,0.045115,13829,0.000176626,164.059,
9,2,15512,0.000597569,0.103066,8278,0.00020351,103.082,
9,3,10776,0.000563023,0.177692,5868,0.000255602,113.183,
9,4,10210,0.000568604,0.17594,5549,0.000222546,115.508,
9,5,10029,0.000565975,0.180934,5447,0.000208412,116.385,
9,6,9956,0.000583165,0.175094,5408,0.000209755,117.123,
3,0,20000,0.01,0.0141421,10201,0,2.66831,
3,1,88324,0.00068144,0.0366837,44620,3.62853e-07,0.165312,
3,2,65304,0.0007498,0.0192354,33016,5.68447e-08,0.151638,
3,3,41418,0.000866998,0.0299083,20980,8.72871e-08,0.189301,
3,4,35878,0.000973183,0.031542,18187,1.00613e-07,0.213196,
3,5,35072,0.0009533,0.0321571,17775,1.25925e-07,0.215093,
3,6,34774,0.000970594,0.0330696,17625,1.32335e-07,0.215728,
6,0,20000,0.01,0.0141421,10201,0,221.047,
6,1,50227,0.000676887,0.0292677,25682,1.46015e-06,153.985,
6,2,71363,0.000595326,0.016914,36392,0.000240301,93.209,
6,3,62012,0.000526153,0.0204469,31721,0.000281613,92.4045,
6,4,62379,0.000543849,0.0200458,31897,0.000301044,92.4297,
6,5,61922,0.000543134,0.0206573,31671,0.000291854,92.6891,
13,0,20000,0.01,0.0141421,10201,0,0.0491777,
13,1,13862,0.00546063,0.030731,7066,9.48198e-08,0.0732286,
13,2,11988,0.00721347,0.0314317,6107,9.66437e-08,0.078328,
13,3,11349,0.00679019,0.0341515,5788,1.40262e-07,0.0790374,
13,4,11163,0.00746777,0.0368882,5692,1.58609e-07,0.0788388,
13,5,11027,0.00741285,0.0321902,5625,1.68941e-07,0.0787042,
13,6,10928,0.00737032,0.0345134,5574,1.75733e-07,0.0789414,
15,0,20000,0.01,0.0141421,10201,0,0.0491777,
15,1,6661,0.00894559,0.0407477,3434,2.63388e-07,0.127499,
15,2,4074,0.0124986,0.0444214,2108,8.59173e-07,0.19832,
15,3,3602,0.012404,0.0611913,1867,1.39343e-06,0.221603,
15,4,3553,0.012277,0.0616614,1840,1.52142e-06,0.221111,
15,5,3520,0.0122616,0.0623616,1824,1.54971e-06,0.222766,
12,0,20000,0.01,0.0141421,10201,0,0.0491777,
12,1,26545,0.00339149,0.0264922,13454,4.21421e-08,0.035031,
12,2,24355,0.00436432,0.0227999,12344,3.68868e-08,0.0352447,
12,3,21725,0.00442118,0.0227676,11031,3.70129e-08,0.0374358,
12,4,21849,0.00486098,0.0236703,11084,4.36231e-08,0.0366673,
12,5,21699,0.00506207,0.0243959,11011,4.30532e-08,0.0367339,
14,0,20000,0.01,0.0141421,10201,0,0.0491777,
14,1,8236,0.00711159,0.0368702,4232,1.68568e-07,0.111954,
14,2,5959,0.00865249,0.0412496,3064,4.22877e-07,0.132705,
14,3,5807,0.0100649,0.0507808,2985,6.58109e-07,0.134746,
14,4,5782,0.0102905,0.0453282,2972,6.72704e-07,0.135252,
14,5,5769,0.0102308,0.0476874,2966,6.76376e-07,0.135539,
19,0,20000,0.01,0.0141421,10201,0,436.794,
19,1,37647,0.000665232,0.0505468,19282,6.24439e-05,32.0202,
19,2,23220,0.000608153,0.0765066,12092,2.30243e-05,28.7769,
19,3,19387,0.000579067,0.0867905,10068,1.76274e-05,32.1406,
19,4,18673,0.000595295,0.0950456,9672,1.92238e-05,32.6664,
19,5,18408,0.000598266,0.0948653,9532,1.89741e-05,32.8597,
19,6,18259,0.000594733,0.0875166,9455,1.92092e-05,33.0117,
2,0,20000,0.01,0.0141421,10201,0,2.66831,
2,1,103703,0.000667902,0.039085,52342,2.21756e-07,0.143685,
2,2,95498,0.000717014,0.0192849,48181,3.2987e-08,0.107515,
2,3,65518,0.000709593,0.0243669,33098,4.3692e-08,0.123636,
2,4,56277,0.000794159,0.0250857,28449,4.8161e-08,0.138228,
2,5,54773,0.000714188,0.026878,27684,5.64416e-08,0.139185,
2,6,54312,0.000796872,0.0285589,27454,5.74812e-08,0.13953,
18,0,20000,0.01,0.0141421,10201,0,436.794,
18,1,43033,0.000684206,0.0447027,21992,2.67287e-05,31.5791,
18,2,31828,0.00057354,0.0631311,16455,2.46936e-05,23.4786,
18,3,29321,0.00055905,0.0673287,15165,2.26969e-05,23.8679,
18,4,29119,0.000584814,0.0680943,15052,2.07562e-05,23.6266,
18,5,29023,0.000589621,0.0718738,15002,1.98794e-05,23.4858,
17,0,20000,0.01,0.0141421,10201,0,436.794,
17,1,51316,0.000679732,0.0434586,26156,7.0622e-06,31.4387,
17,2,51016,0.000582779,0.0375002,26123,3.33115e-05,20.0753,
17,3,47328,0.000559132,0.0417842,24267,3.54898e-05,19.9173,
17,4,47551,0.000555346,0.0414902,24380,3.46749e-05,19.75,
17,5,47338,0.000560123,0.0416492,24272,3.3487e-05,19.6162,
20,0,20000,0.01,0.0141421,10201,0,436.794,
20,1,33717,0.000689614,0.051138,17300,0.000114127,32.7144,
20,2,17402,0.000619143,0.0967024,9099,3.3257e-05,36.7636,
20,3,12377,0.000656515,0.100149,6470,4.1149e-05,48.7396,
20,4,11175,0.000665717,0.127646,5830,5.25693e-05,52.6251,
20,5,10746,0.000645516,0.118582,5609,5.67001e-05,54.1163,
20,6,10590,0.000745708,0.117088,5530,5.91672e-05,54.3703,
20,7,10475,0.000720469,0.118142,5471,5.87872e-05,54.7392,
20,8,10393,0.000748029,0.11733,5429,6.03747e-05,54.9945,
24,0,20000,0.01,0.0141421,10201,0,0.273293,
24,1,21882,0.00136775,0.0437663,11144,3.93759e-07,0.0954269,
24,2,10734,0.00287889,0.0600049,5503,1.74573e-07,0.124595,
24,3,6601,0.00294021,0.0591307,3404,4.87549e-07,0.188265,
24,4,5657,0.00362473,0.0709306,2919,6.63232e-07,0.214495,
24,5,5524,0.0036103,0.0752783,2851,7.80323e-07,0.216166,
24,6,5464,0.00372389,0.0743204,2821,8.30154e-07,0.217089,
24,7,5422,0.00380828,0.0818842,2799,8.43449e-07,0.218765,
25,0,20000,0.01,0.0141421,10201,0,0.273293,
25,1,8557,0.00280726,0.0434416,4410,1.57504e-06,0.162658,
25,2,2578,0.00586577,0.0870704,1359,2.92655e-06,0.45738,
25,3,1501,0.0073657,0.120985,799,7.63054e-06,0.736839,
25,4,1281,0.0084315,0.132011,684,1.33359e-05,0.824382,
25,5,1218,0.00843749,0.145751,650,1.60761e-05,0.864282,
25,6,1206,0.0092411,0.134653,645,1.65382e-05,0.859573,
16,0,20000,0.01,0.0141421,10201,0,436.794,
16,1,59766,0.000681946,0.0362344,30403,3.43148e-06,31.3236,
16,2,79845,0.000602947,0.0227565,40595,3.7855e-05,19.3986,
16,3,70137,0.000549485,0.0287087,35732,3.69954e-05,19.2074,
16,4,70504,0.000547762,0.0275965,35918,3.79613e-05,19.0317,
16,5,69898,0.000549927,0.0280021,35615,3.67422e-05,18.9612,
23,0,20000,0.01,0.0141421,10201,0,0.273293,
23,1,52856,0.000833927,0.0373423,26732,1.41753e-07,0.048717,
23,2,32858,0.00172147,0.0318246,16664,2.30803e-08,0.0455595,
23,3,19476,0.00166944,0.0354459,9918,5.70701e-08,0.066716,
23,4,16311,0.00210873,0.0447913,8313,8.04884e-08,0.0777923,
23,5,15906,0.00211842,0.0480711,8104,1.00113e-07,0.0782605,
23,6,15733,0.00209359,0.046397,8019,1.05141e-07,0.0788592,
23,7,15692,0.00213579,0.0437788,7997,1.0689e-07,0.0786255,
11,0,20000,0.01,0.0141421,10201,0,0.0491777,
11,1,93562,0.00170166,0.0169849,47113,1.05355e-08,0.0111598,
11,2,103997,0.00211644,0.0103853,52355,2.39087e-09,0.00932619,
11,3,92139,0.00201848,0.0118665,46415,2.23639e-09,0.00979046,
11,4,90228,0.00236252,0.0125035,45444,2.38594e-09,0.0096984,
11,5,89442,0.00233221,0.0124904,45050,2.47021e-09,0.00966255,
27,0,20000,0.01,0.0141421,10201,0,27.247,
27,1,46763,0.000696404,0.0447983,23817,6.87912e-06,1.21088,
27,2,20244,0.000699803,0.0601843,10428,1.45381e-06,2.08312,
27,3,12942,0.000950148,0.0645948,6683,2.40179e-06,3.08775,
27,4,11432,0.000982004,0.067833,5907,3.19051e-06,3.40788,
27,5,11064,0.00102662,0.0730277,5715,3.67639e-06,3.44664,
27,6,10927,0.00105414,0.0724103,5645,3.94009e-06,3.46831,
27,7,10819,0.00109016,0.0747525,5590,4.11045e-06,3.49486,
28,0,20000,0.01,0.0141421,10201,0,27.247,
28,1,35493,0.000716435,0.0499107,18132,1.58404e-05,1.46446,
28,2,10775,0.00113127,0.0832173,5612,4.15315e-06,3.73193,
28,3,5749,0.00150001,0.0896962,3022,9.74637e-06,6.57086,
28,4,4847,0.0017206,0.104964,2545,1.82521e-05,7.35095,
28,5,4569,0.00182577,0.100045,2399,2.21652e-05,7.64552,
28,6,4478,0.00183783,0.105554,2352,2.35675e-05,7.73525,
28,7,4447,0.00180164,0.106557,2336,2.40671e-05,7.76808,
