sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
320,0,20000,0.01,0.0141421,10201,0,0.01667,
320,1,25863,0.0011587,0.0442575,13157,1.52618e-06,0.00331967,
320,2,12994,0.00220365,0.0390727,6662,6.28071e-07,0.00326863,
320,3,7863,0.00277209,0.0550346,4052,1.58693e-06,0.00511344,
320,4,6739,0.00314037,0.0566389,3476,2.15574e-06,0.00607619,
320,5,6539,0.00305826,0.0561393,3373,2.57807e-06,0.00618281,
320,6,6479,0.00302974,0.0584692,3343,2.77705e-06,0.00623999,
319,0,20000,0.01,0.0141421,10201,0,0.01667,
319,1,42402,0.000907292,0.038353,21486,8.58479e-07,0.00157762,
319,2,22624,0.00183205,0.0313672,11532,2.08374e-07,0.00180543,
319,3,14603,0.00187741,0.0376097,7465,5.13982e-07,0.00253448,
319,4,12660,0.00207646,0.0450591,6477,6.63522e-07,0.00294288,
319,5,12345,0.00226417,0.0457229,6314,7.49525e-07,0.00297524,
319,6,12158,0.00231748,0.0449387,6221,8.04632e-07,0.00296809,
319,7,12085,0.00235435,0.045849,6183,8.15014e-07,0.00302957,
318,0,20000,0.01,0.0141421,10201,0,0.01667,
318,1,75444,0.00074255,0.0341504,38122,3.78556e-07,0.000846818,
318,2,53879,0.00133448,0.0180143,27266,6.24426e-08,0.000777232,
318,3,32870,0.00116814,0.0278602,16691,1.01892e-07,0.00098448,
318,4,28242,0.00140942,0.0292916,14344,1.30734e-07,0.00115319,
318,5,27673,0.00134911,0.0305934,14052,1.57767e-07,0.00112782,
318,6,27415,0.00134058,0.0304837,13922,1.64708e-07,0.00113341,
317,0,20000,0.01,0.0141421,10201,0,0.01667,
317,1,97281,0.000716613,0.0316408,49111,2.37782e-07,0.000641101,
317,2,83884,0.00105393,0.0164337,42340,3.46859e-08,0.000516317,
317,3,52847,0.000923459,0.0213718,26743,4.24029e-08,0.000602223,
317,4,44641,0.00108275,0.0227637,22603,5.11073e-08,0.00068113,
317,5,43473,0.00113208,0.0256599,22007,6.60354e-08,0.000669729,
317,6,43102,0.00107895,0.0248774,21821,6.89106e-08,0.000668779,
325,0,20000,0.01,0.0141421,10201,0,5.48487,
325,1,72168,0.000669202,0.0446513,36908,1.87146e-06,0.181884,
325,2,58646,0.000589413,0.0286933,30082,1.23101e-05,0.0961154,
325,3,47986,0.000543408,0.0365479,24665,1.60558e-05,0.0894543,
325,4,47470,0.000547927,0.0363574,24389,1.65976e-05,0.0868115,
325,5,47273,0.000541919,0.0369599,24289,1.62495e-05,0.0864055,
324,0,20000,0.01,0.0141421,10201,0,5.48487,
324,1,77186,0.000670957,0.0373377,39449,1.19031e-06,0.18001,
324,2,68441,0.000600278,0.0248992,35004,1.19462e-05,0.095849,
324,3,54459,0.000550802,0.0303338,27931,1.63573e-05,0.0877359,
324,4,55144,0.00054659,0.0297464,28259,1.71617e-05,0.0850492,
324,5,54747,0.000546497,0.030124,28061,1.64301e-05,0.0846378,
323,0,20000,0.01,0.0141421,10201,0,5.48487,
323,1,82999,0.000680647,0.0358759,42388,7.97938e-07,0.178541,
323,2,91490,0.000598873,0.0162205,46569,1.19432e-05,0.0954574,
323,3,68692,0.000546036,0.0239981,35104,1.5033e-05,0.0888579,
323,4,68915,0.000530706,0.0235336,35195,1.69344e-05,0.0863542,
323,5,68435,0.000539028,0.0227812,34954,1.64195e-05,0.0859383,
329,0,20000,0.01,0.0141421,10201,0,5.48295,
329,1,76797,0.000676582,0.0407378,39254,1.19092e-06,0.182888,
329,2,73551,0.000580204,0.0236838,37564,1.25186e-05,0.0956978,
329,3,55743,0.000543036,0.0308054,28578,1.54344e-05,0.0888362,
329,4,55181,0.000548566,0.0295477,28279,1.69071e-05,0.0863223,
329,5,54932,0.000544402,0.0314026,28152,1.66072e-05,0.0862245,
330,0,20000,0.01,0.0141421,10201,0,5.48295,
330,1,71975,0.00067936,0.0446509,36811,1.87224e-06,0.181236,
330,2,58488,0.00059786,0.0289664,30003,1.20671e-05,0.0982267,
330,3,47886,0.000547295,0.0375529,24615,1.65501e-05,0.0912793,
330,4,47313,0.000535729,0.0365018,24311,1.70442e-05,0.0886628,
330,5,47133,0.000550676,0.0363559,24219,1.64976e-05,0.0870069,
328,0,20000,0.01,0.0141421,10201,0,5.48295,
328,1,83098,0.000695474,0.0405195,42437,7.9831e-07,0.178713,
328,2,96963,0.000598222,0.0185129,49305,1.2035e-05,0.0971347,
328,3,69761,0.000555932,0.0231831,35642,1.44826e-05,0.0898711,
328,4,68773,0.000536659,0.0232327,35124,1.69134e-05,0.0869793,
328,5,68469,0.000546942,0.0229333,34970,1.63796e-05,0.0862184,
322,0,20000,0.01,0.0141421,10201,0,5.48487,
322,1,86556,0.000660886,0.0309759,44182,7.24585e-07,0.180028,
322,2,110822,0.00057574,0.0147049,56256,1.25239e-05,0.0964385,
322,3,77601,0.000539031,0.0219123,39599,1.36006e-05,0.0887478,
322,4,78406,0.000530646,0.0201452,39970,1.62544e-05,0.0855641,
322,5,77246,0.000553949,0.0206323,39391,1.57394e-05,0.0854816,
322,6,77280,0.000554143,0.0197929,39406,1.5627e-05,0.085708,
316,0,20000,0.01,0.0141421,10201,0,0.01667,
316,1,129603,0.000707218,0.0274719,65351,1.27436e-07,0.000504029,
316,2,136931,0.000729145,0.0122058,68969,1.68466e-08,0.00031974,
316,3,99414,0.000725195,0.0172443,50126,1.53259e-08,0.00031691,
316,4,81385,0.000758151,0.0177166,41076,1.71982e-08,0.00036037,
316,5,78729,0.000816415,0.0188494,39727,2.22974e-08,0.000359437,
316,6,77975,0.000851146,0.0195498,39352,2.248e-08,0.000356984,
321,0,20000,0.01,0.0141421,10201,0,5.48487,
321,1,92877,0.000685528,0.0281771,47361,7.00063e-07,0.17759,
321,2,144375,0.00058179,0.0145757,73061,1.1312e-05,0.0947811,
321,3,97786,0.000536593,0.0171204,49762,1.16717e-05,0.0877113,
321,4,92604,0.00054054,0.0169074,47114,1.46231e-05,0.0854049,
321,5,92587,0.000542988,0.0170623,47110,1.46193e-05,0.0852882,
327,0,20000,0.01,0.0141421,10201,0,5.48295,
327,1,87053,0.000683917,0.039617,44430,7.2485e-07,0.180031,
327,2,113002,0.00058744,0.0166819,57346,1.24272e-05,0.0961697,
327,3,79623,0.000551693,0.0208944,40612,1.32585e-05,0.0892115,
327,4,78547,0.000539972,0.0202223,40042,1.59682e-05,0.0866795,
327,5,77846,0.000541653,0.0198172,39691,1.56613e-05,0.0860747,
326,0,20000,0.01,0.0141421,10201,0,5.48295,
326,1,92962,0.000680358,0.0386886,47403,7.00217e-07,0.178534,
326,2,140326,0.000609042,0.0147058,71035,1.1582e-05,0.0965258,
326,3,96751,0.000548004,0.0172737,49240,1.17225e-05,0.0878713,
326,4,92648,0.000539279,0.0166658,47137,1.45536e-05,0.0855442,
326,5,92530,0.000536048,0.0172008,47080,1.44659e-05,0.0852778,
340,0,20000,0.01,0.0141421,10201,0,6.80587,
340,1,31531,0.000706461,0.0491915,16201,4.37033e-05,0.196983,
340,2,16699,0.000607854,0.0942203,8770,1.45873e-05,0.154097,
340,3,11629,0.000646397,0.102203,6109,1.73038e-05,0.19177,
340,4,10264,0.000692596,0.113687,5383,2.18598e-05,0.213198,
340,5,9803,0.000653223,0.123017,5144,2.40962e-05,0.224576,
340,6,9562,0.000663552,0.125713,5020,2.53395e-05,0.230715,
340,7,9487,0.000649811,0.124804,4981,2.62883e-05,0.231345,
339,0,20000,0.01,0.0141421,10201,0,6.80587,
339,1,38214,0.000691921,0.0509747,19580,1.0212e-05,0.182892,
339,2,27827,0.000617079,0.0692862,14455,1.0574e-05,0.106195,
339,3,25663,0.000552616,0.0638255,13335,1.03935e-05,0.101784,
339,4,25435,0.000579214,0.0681859,13213,9.31458e-06,0.0993657,
339,5,25348,0.0005763,0.0646807,13169,8.99038e-06,0.0976034,
335,0,20000,0.01,0.0141421,10201,0,31.6389,
335,1,116419,0.000669919,0.0509638,58976,7.48247e-05,0.211039,
335,2,40401,0.000591417,0.0925263,20901,1.35584e-05,0.107258,
335,3,18475,0.000594229,0.0815101,9690,1.88866e-05,0.139142,
335,4,12544,0.000648458,0.108151,6583,2.59929e-05,0.181971,
335,5,10563,0.000702512,0.117199,5539,2.79259e-05,0.218729,
335,6,9924,0.000738676,0.113123,5203,2.91858e-05,0.230336,
335,7,9636,0.000718151,0.134477,5054,3.01677e-05,0.236707,
335,8,9491,0.000735175,0.133395,4979,3.07993e-05,0.238749,
335,9,9381,0.000685467,0.133123,4923,3.16884e-05,0.238295,
335,10,9287,0.000787581,0.123636,4874,3.12257e-05,0.247441,
335,11,9242,0.000772322,0.126698,4852,3.44786e-05,0.243508,
338,0,20000,0.01,0.0141421,10201,0,6.80587,
338,1,48940,0.000671588,0.044209,24972,1.76485e-06,0.18346,
338,2,50161,0.000607406,0.035298,25711,1.61489e-05,0.097969,
338,3,46078,0.000537738,0.0364313,23657,1.74944e-05,0.0904355,
338,4,46324,0.000528289,0.036461,23782,1.71366e-05,0.0880334,
338,5,46188,0.000549407,0.0370567,23712,1.67652e-05,0.0877742,
345,0,20000,0.01,0.0141421,10201,0,5.48928,
345,1,31728,0.00071368,0.0514064,16364,5.85324e-05,0.200514,
345,2,16957,0.000609099,0.0915593,8930,1.5788e-05,0.153189,
345,3,11549,0.000668705,0.120954,6079,1.9084e-05,0.196193,
345,4,10149,0.000690298,0.115009,5327,2.40678e-05,0.217141,
345,5,9668,0.000713039,0.128654,5074,2.41059e-05,0.229916,
345,6,9447,0.00073978,0.12417,4960,2.50671e-05,0.235847,
345,7,9330,0.000706945,0.129377,4901,2.53751e-05,0.238154,
345,8,9234,0.0007318,0.129956,4851,2.62006e-05,0.239378,
345,9,9182,0.000675831,0.129811,4824,2.63777e-05,0.241242,
344,0,20000,0.01,0.0141421,10201,0,5.48928,
344,1,44584,0.000717726,0.0500702,22928,1.40262e-05,0.183383,
344,2,30082,0.000602318,0.0722356,15659,1.01321e-05,0.104775,
344,3,26243,0.000593188,0.0709454,13656,9.95429e-06,0.102245,
344,4,25661,0.000571334,0.0687819,13343,8.99281e-06,0.100409,
344,5,25570,0.00055336,0.0677118,13292,8.82574e-06,0.0980094,
337,0,20000,0.01,0.0141421,10201,0,6.80587,
337,1,55750,0.00070738,0.0402946,28395,9.42811e-07,0.181171,
337,2,76972,0.000597759,0.0206199,39171,1.71076e-05,0.0967084,
337,3,66813,0.000542122,0.0250005,34080,1.68228e-05,0.090104,
337,4,67039,0.000538164,0.0258957,34195,1.72564e-05,0.0870482,
337,5,66537,0.000523336,0.0255803,33943,1.67e-05,0.0859466,
334,0,20000,0.01,0.0141421,10201,0,31.6389,
334,1,177774,0.000651243,0.0505636,89746,1.75249e-05,0.187129,
334,2,63377,0.000588444,0.0483784,32488,5.22753e-06,0.0979788,
334,3,33093,0.000553412,0.0556388,17176,8.66804e-06,0.0969992,
334,4,27252,0.000553603,0.0605104,14166,9.29568e-06,0.0978156,
334,5,26162,0.000576989,0.0660973,13583,8.67676e-06,0.0962268,
334,6,25929,0.000576727,0.0756526,13456,8.13788e-06,0.0957609,
343,0,20000,0.01,0.0141421,10201,0,5.48928,
343,1,72982,0.000691429,0.0452552,37340,2.27831e-06,0.18076,
343,2,59728,0.00057696,0.0389517,30629,1.20304e-05,0.0969038,
343,3,48063,0.000536613,0.0412617,24712,1.59148e-05,0.0893056,
343,4,47706,0.000553637,0.0434153,24513,1.68149e-05,0.0871355,
343,5,47435,0.000551056,0.0411492,24375,1.64767e-05,0.0846945,
350,0,20000,0.01,0.0141421,10201,0,5.61495,
350,1,31334,0.000690518,0.0505341,16129,6.08759e-05,0.198433,
350,2,16549,0.000628214,0.0968031,8708,1.47732e-05,0.156767,
350,3,11529,0.000638338,0.112457,6062,1.85229e-05,0.193199,
350,4,10136,0.000680471,0.134109,5319,2.33333e-05,0.215455,
350,5,9709,0.000639544,0.149959,5095,2.49644e-05,0.227448,
350,6,9498,0.00067717,0.138091,4987,2.58092e-05,0.234206,
350,7,9390,0.000685964,0.13763,4931,2.57317e-05,0.236378,
350,8,9340,0.000698424,0.136485,4905,2.65014e-05,0.236028,
349,0,20000,0.01,0.0141421,10201,0,5.61495,
349,1,39473,0.000681401,0.0460811,20291,1.47027e-05,0.183586,
349,2,28109,0.000614265,0.0760154,14631,1.05897e-05,0.108105,
349,3,25713,0.000572002,0.0725868,13375,1.04299e-05,0.104063,
349,4,25329,0.000583223,0.0740423,13167,9.31468e-06,0.101109,
349,5,25260,0.000574063,0.0742492,13129,9.0012e-06,0.0991624,
336,0,20000,0.01,0.0141421,10201,0,6.80587,
336,1,65466,0.000702353,0.0336851,33274,9.06339e-07,0.182511,
336,2,115092,0.000600631,0.0161169,58280,1.59145e-05,0.0971704,
336,3,91978,0.000525375,0.0175046,46715,1.38569e-05,0.0889497,
336,4,89960,0.000527505,0.0180661,45698,1.52859e-05,0.0869247,
336,5,89329,0.000537077,0.0169331,45385,1.5059e-05,0.0867314,
342,0,20000,0.01,0.0141421,10201,0,5.48928,
342,1,85433,0.000680748,0.0443632,43648,9.09448e-07,0.178419,
342,2,92259,0.000571878,0.0209104,46969,1.16002e-05,0.0945734,
342,3,69300,0.000562494,0.028292,35421,1.48712e-05,0.0867066,
342,4,69388,0.000554262,0.0253508,35439,1.66753e-05,0.0831176,
342,5,68905,0.000546239,0.0256774,35197,1.605e-05,0.081853,
348,0,20000,0.01,0.0141421,10201,0,5.61495,
348,1,64447,0.000705649,0.0416457,32959,2.43265e-06,0.17798,
348,2,51961,0.000570461,0.0368976,26695,1.2857e-05,0.0960567,
348,3,47083,0.000546858,0.038325,24199,1.64567e-05,0.0898337,
348,4,46931,0.00055013,0.0411347,24113,1.60261e-05,0.0874548,
348,5,46732,0.000550712,0.039322,24012,1.55935e-05,0.0867728,
355,0,20000,0.01,0.0141421,10201,0,5.86969,
355,1,33290,0.000616864,0.0516383,17093,4.65542e-05,0.193596,
355,2,21331,0.000406609,0.093725,11106,1.49552e-05,0.114135,
355,3,12322,0.000682517,0.111384,6455,1.42177e-05,0.17254,
355,4,10062,0.000698889,0.11934,5287,2.01113e-05,0.215638,
355,5,9501,0.000707456,0.142102,4990,2.36452e-05,0.229278,
355,6,9247,0.000701784,0.130613,4858,2.53529e-05,0.235942,
355,7,9121,0.000737537,0.128898,4794,2.66357e-05,0.240036,
355,8,9023,0.000755475,0.130634,4744,2.77593e-05,0.244728,
355,9,8973,0.00075048,0.132779,4719,2.81861e-05,0.245498,
347,0,20000,0.01,0.0141421,10201,0,5.61495,
347,1,81902,0.000703635,0.0444258,41818,9.95923e-07,0.181077,
347,2,93158,0.00057311,0.0221416,47393,1.30063e-05,0.0963028,
347,3,69261,0.000543833,0.0281304,35379,1.49513e-05,0.0896305,
347,4,68619,0.000531724,0.0279053,35038,1.69469e-05,0.0866615,
347,5,68306,0.000542005,0.0265624,34879,1.64106e-05,0.0866552,
341,0,20000,0.01,0.0141421,10201,0,5.48928,
341,1,97516,0.000675355,0.0299652,49735,7.45838e-07,0.180296,
341,2,131071,0.000601472,0.0153438,66434,1.17448e-05,0.0960557,
341,3,96224,0.000543536,0.0177111,48979,1.24304e-05,0.0877518,
341,4,94037,0.000529126,0.0199245,47844,1.46204e-05,0.0852446,
341,5,93673,0.000549766,0.0197314,47662,1.43509e-05,0.0848947,
333,0,20000,0.01,0.0141421,10201,0,31.6389,
333,1,263967,0.000679092,0.0441923,132924,2.5431e-06,0.183983,
333,2,117411,0.000574304,0.0246789,59782,4.02656e-06,0.0943602,
333,3,59023,0.000543299,0.0300198,30327,1.05274e-05,0.0882938,
333,4,48088,0.000544057,0.0351712,24743,1.46282e-05,0.0872785,
333,5,46978,0.000542264,0.0403943,24141,1.56067e-05,0.085034,
333,6,46708,0.000557248,0.0402949,23988,1.56364e-05,0.0855743,
354,0,20000,0.01,0.0141421,10201,0,5.86969,
354,1,41092,0.000615787,0.0502222,21063,1.14251e-05,0.18419,
354,2,56744,0.000311669,0.0686974,29220,3.42304e-06,0.0371032,
354,3,44089,0.000302808,0.059935,22665,1.15057e-06,0.0388554,
354,4,40470,0.000336831,0.0692496,20763,1.4153e-06,0.0403499,
354,5,39845,0.000325033,0.0610495,20441,1.4183e-06,0.0408814,
354,6,39506,0.00032122,0.0672629,20271,1.4542e-06,0.041406,
360,0,20000,0.01,0.0141421,10201,0,5.63164,
360,1,36178,0.000710732,0.0517095,18685,5.73277e-05,0.201269,
360,2,18489,0.000601558,0.0988074,9757,1.52862e-05,0.146081,
360,3,12240,0.000661306,0.111297,6449,2.1551e-05,0.179403,
360,4,10497,0.000683528,0.112867,5508,2.47051e-05,0.205393,
360,5,9849,0.000672319,0.128618,5167,2.46176e-05,0.219568,
360,6,9569,0.000750468,0.128568,5022,2.61674e-05,0.226038,
360,7,9386,0.000737478,0.120874,4929,2.72201e-05,0.231986,
360,8,9297,0.000744105,0.133242,4883,2.77585e-05,0.233809,
346,0,20000,0.01,0.0141421,10201,0,5.61495,
346,1,96968,0.000701614,0.029547,49408,8.07451e-07,0.180049,
346,2,136423,0.000592413,0.0145645,69090,1.17788e-05,0.0952786,
346,3,96572,0.00054552,0.019632,49127,1.19267e-05,0.0880027,
346,4,93509,0.000548507,0.0185816,47555,1.45083e-05,0.0860007,
346,5,93082,0.00054195,0.0193217,47342,1.4352e-05,0.0835604,
359,0,20000,0.01,0.0141421,10201,0,5.63164,
359,1,59191,0.000701047,0.0514433,30422,1.40147e-05,0.182839,
359,2,34847,0.000595224,0.0580971,18130,9.25458e-06,0.103877,
359,3,27503,0.000557996,0.0740314,14322,1.05191e-05,0.101065,
359,4,26204,0.000570699,0.0755022,13622,9.16615e-06,0.0989052,
359,5,25947,0.000578129,0.0799384,13478,8.712e-06,0.0982288,
281,0,20000,0.01,0.0141421,10201,0,0.0166734,
281,1,225461,0.000694349,0.0162566,113415,3.00787e-08,0.000195163,
281,2,325649,0.000589419,0.00770411,163678,3.15302e-09,0.000117482,
281,3,296178,0.000575379,0.00904002,148865,1.95306e-09,0.000113547,
281,4,271738,0.000575326,0.00911053,136631,1.85072e-09,0.000111597,
281,5,269303,0.00058792,0.00925818,135386,2.01664e-09,0.000107185,
358,0,20000,0.01,0.0141421,10201,0,5.63164,
358,1,90374,0.000682209,0.0424574,46222,2.2183e-06,0.180009,
358,2,61673,0.00060476,0.0309257,31676,9.88751e-06,0.096194,
358,3,49408,0.000550932,0.0401944,25404,1.56838e-05,0.0899354,
358,4,48032,0.000539512,0.0388134,24680,1.63308e-05,0.0868731,
358,5,47704,0.000543721,0.0426251,24510,1.57823e-05,0.086699,
357,0,20000,0.01,0.0141421,10201,0,5.63164,
357,1,104768,0.000676599,0.0404715,53485,8.95487e-07,0.179386,
357,2,105352,0.000604586,0.0229315,53577,1.01734e-05,0.0954883,
357,3,71189,0.000535857,0.0252535,36388,1.34115e-05,0.0877779,
357,4,69149,0.000540809,0.0271865,35331,1.63171e-05,0.0849602,
357,5,68945,0.000531732,0.0278586,35226,1.61673e-05,0.0844498,
365,0,20000,0.01,0.0141421,10201,0,2.12881,
365,1,34393,0.000767062,0.0508335,17499,3.5586e-05,0.340089,
365,2,21874,0.00102269,0.109048,11288,1.93998e-05,0.228718,
365,3,14973,0.00102673,0.152854,7778,2.57077e-05,0.277075,
365,4,13504,0.00132022,0.210079,7011,3.35403e-05,0.326721,
365,5,13014,0.00134898,0.189644,6763,3.55465e-05,0.348107,
365,6,12836,0.00140728,0.186518,6671,3.70463e-05,0.347353,
365,7,12654,0.00136192,0.193686,6577,3.70397e-05,0.355661,
365,8,12545,0.00134392,0.187482,6521,3.85543e-05,0.357778,
353,0,20000,0.01,0.0141421,10201,0,5.86969,
353,1,58373,0.000621716,0.0495587,29820,1.67616e-06,0.18285,
353,2,122761,0.00030306,0.0374794,62526,2.84684e-06,0.019159,
353,3,119926,0.000299685,0.0317764,61114,8.46801e-07,0.0183784,
353,4,115661,0.000290626,0.0319091,58969,7.95032e-07,0.0181645,
353,5,115790,0.000285837,0.033507,59026,7.94559e-07,0.0179604,
364,0,20000,0.01,0.0141421,10201,0,2.12881,
364,1,38824,0.000745904,0.0517819,19737,3.13776e-05,0.314699,
364,2,27355,0.000936675,0.110307,14088,1.3603e-05,0.187618,
364,3,18441,0.00100386,0.17374,9563,1.77993e-05,0.213788,
364,4,16783,0.00116208,0.170449,8690,2.30394e-05,0.239902,
364,5,16240,0.0011676,0.165681,8411,2.44451e-05,0.248697,
364,6,15940,0.00120731,0.168194,8259,2.42858e-05,0.253693,
364,7,15753,0.00122343,0.167697,8164,2.51611e-05,0.259159,
364,8,15616,0.00122342,0.169941,8094,2.57771e-05,0.270295,
363,0,20000,0.01,0.0141421,10201,0,2.12881,
363,1,52872,0.000720744,0.051223,26820,2.51587e-05,0.242197,
363,2,38843,0.00071176,0.107652,20004,9.25958e-06,0.113698,
363,3,28660,0.000725694,0.1356,14791,1.22327e-05,0.128739,
363,4,26410,0.000757752,0.142636,13614,1.49637e-05,0.134046,
363,5,26010,0.000842543,0.140364,13398,1.00957e-05,0.138784,
363,6,25711,0.0008447,0.138219,13251,9.90615e-06,0.141117,
363,7,25563,0.000897196,0.135586,13178,1.00276e-05,0.140585,
356,0,20000,0.01,0.0141421,10201,0,5.63164,
356,1,117940,0.000675472,0.0296763,60107,7.632e-07,0.180475,
356,2,161005,0.000574357,0.0179459,81451,9.86297e-06,0.0946163,
356,3,100609,0.000557985,0.0176788,51220,1.04575e-05,0.0872365,
356,4,94488,0.00051996,0.018094,48092,1.41149e-05,0.0852414,
356,5,94379,0.00055905,0.0195912,48036,1.43542e-05,0.0847374,
370,0,20000,0.01,0.0141421,10201,0,1.32574,
370,1,30059,0.000710419,0.0509592,15281,4.69206e-05,0.286544,
370,2,17605,0.00118566,0.108803,9048,2.47293e-05,0.339669,
370,3,13255,0.00120862,0.190998,6878,3.35677e-05,0.323659,
370,4,12406,0.00133605,0.180966,6435,4.15116e-05,0.331996,
370,5,12066,0.00135952,0.17552,6261,4.07156e-05,0.328039,
370,6,11919,0.0013827,0.178655,6183,4.11921e-05,0.336487,
370,7,11826,0.00137723,0.178848,6137,4.13841e-05,0.340831,
362,0,20000,0.01,0.0141421,10201,0,2.12881,
362,1,73347,0.000683553,0.0499832,37147,2.21968e-05,0.164786,
362,2,62336,0.000606122,0.098474,31984,3.27524e-06,0.0640284,
362,3,50240,0.000636342,0.111693,25787,3.50337e-06,0.0684679,
362,4,48206,0.000642547,0.112106,24689,3.65114e-06,0.0683871,
362,5,47458,0.000634794,0.108222,24297,3.49059e-06,0.0684337,
362,6,47110,0.000627174,0.107993,24120,3.41965e-06,0.0683164,
369,0,20000,0.01,0.0141421,10201,0,1.32574,
369,1,33617,0.000750547,0.0504295,17074,4.00661e-05,0.281403,
369,2,22125,0.00104283,0.104847,11344,1.82353e-05,0.292408,
369,3,16388,0.00100406,0.169012,8496,1.95429e-05,0.25252,
369,4,15299,0.00104676,0.176995,7922,2.6784e-05,0.259351,
369,5,14980,0.00111312,0.171087,7757,2.6648e-05,0.2564,
369,6,14817,0.00111059,0.177092,7674,2.71477e-05,0.263527,
369,7,14755,0.00114253,0.177711,7644,2.76137e-05,0.263772,
368,0,20000,0.01,0.0141421,10201,0,1.32574,
368,1,45146,0.00069141,0.0467795,22870,2.93305e-05,0.274573,
368,2,33015,0.000786915,0.10833,16905,1.26154e-05,0.182104,
368,3,26442,0.000812277,0.168573,13657,1.42602e-05,0.141438,
368,4,24886,0.000789926,0.156977,12830,1.14805e-05,0.144795,
368,5,24508,0.000817322,0.144416,12635,1.13998e-05,0.14314,
368,6,24330,0.000856217,0.145347,12543,1.14105e-05,0.143413,
332,0,20000,0.01,0.0141421,10201,0,31.6389,
332,1,326567,0.000685851,0.0406724,164278,1.24681e-06,0.184191,
332,2,231200,0.000585753,0.0158147,116835,3.80518e-06,0.0940936,
332,3,98499,0.000542986,0.0177322,50289,7.34177e-06,0.0865064,
332,4,68750,0.000552399,0.0231076,35253,1.3304e-05,0.0847038,
332,5,67845,0.000551349,0.0241118,34730,1.62355e-05,0.0839102,
332,6,67485,0.000546654,0.0239055,34527,1.60174e-05,0.0830793,
367,0,20000,0.01,0.0141421,10201,0,1.32574,
367,1,62123,0.000718902,0.0506356,31394,2.31456e-05,0.267809,
367,2,57922,0.000605387,0.105425,29583,4.13662e-06,0.0884804,
367,3,48521,0.000634001,0.100518,24916,3.63787e-06,0.0704489,
